Id,External_ID__c,AccountId,FSLDemoTools_Service_Resource__c,ServiceTerritoryId,ParentRecordId,ActualStartTime,ArrivalWindowStartTime,ActualDuration,EarliestStartTime,Duration,DurationType,Status,DueDate,ActualEndTime,ArrivalWindowEndTime
08p0b000000MSrgAAG,,0010b00002CfRC0AAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRRGA4,2017-03-07T21:42:00.000Z,2017-03-07T21:42:00.000Z,96,2017-03-07T21:42:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-10T21:13:00.000Z,2017-03-07T22:42:00.000Z
08p0b000000MSrhAAG,,0010b00002CfRBzAAN,0Hn0b000000TgXzCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRSGA4,2017-03-07T16:00:00.000Z,2017-03-07T16:00:00.000Z,175,2017-03-07T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-08T14:46:00.000Z,2017-03-07T18:00:00.000Z
08p0b000000MSujAAG,,0010b00002CfRCMAA3,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUUGA4,2017-03-03T17:01:00.000Z,2017-03-03T16:00:00.000Z,85,2017-03-03T16:00:00.000Z,60,Minutes,Completed,2017-03-06T15:34:00.000Z,2017-03-06T15:35:00.000Z,2017-03-03T17:00:00.000Z
08p0b000000MSukAAG,,0010b00002CfRC1AAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUVGA4,2017-03-03T16:00:00.000Z,2017-03-03T16:00:00.000Z,88,2017-03-03T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-04T08:51:00.000Z,2017-03-03T18:00:00.000Z
08p0b000000MSulAAG,,0010b00002CfRBpAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUWGA4,2017-03-03T22:06:00.000Z,2017-03-03T22:06:00.000Z,67,2017-03-03T22:06:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T22:11:00.000Z,2017-03-03T23:06:00.000Z
08p0b000000MSumAAG,,0010b00002CfRCgAAN,0Hn0b000000TgY1CAK,0Hh0b000000LFOGCA4,0WO0b000000VCUXGA4,2017-02-28T22:01:00.000Z,2017-02-28T22:01:00.000Z,63,2017-02-28T22:01:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T15:35:00.000Z,2017-02-28T23:01:00.000Z
08p0b000000MSunAAG,,0010b00002CfRCWAA3,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUYGA4,2017-02-25T23:00:00.000Z,2017-02-25T23:00:00.000Z,2,2017-02-25T23:00:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-26T22:58:00.000Z,2017-02-26T00:00:00.000Z
08p0b000000MSuoAAG,,0010b00002CfRCXAA3,0Hn0b000000TgXvCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUZGA4,2017-02-27T22:56:00.000Z,2017-02-27T22:56:00.000Z,59,2017-02-27T22:56:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T13:11:00.000Z,2017-02-27T23:56:00.000Z
08p0b000000MSupAAG,,0010b00002CfRCWAA3,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUaGAO,2017-02-28T21:02:00.000Z,2017-02-28T21:02:00.000Z,22,2017-02-28T21:02:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T06:42:00.000Z,2017-02-28T22:02:00.000Z
08p0b000000MSuqAAG,,0010b00002CfRCZAA3,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUbGAO,2017-02-28T17:39:00.000Z,2017-02-28T17:39:00.000Z,76,2017-02-28T17:39:00.000Z,90,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T12:03:00.000Z,2017-02-28T19:09:00.000Z
08p0b000000MSurAAG,,0010b00002CfRCxAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUcGAO,2017-02-28T22:28:00.000Z,2017-02-28T22:28:00.000Z,79,2017-02-28T22:28:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T01:10:00.000Z,2017-02-28T23:28:00.000Z
08p0b000000MSusAAG,,0010b00002CfRBlAAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUdGAO,2017-02-27T16:00:00.000Z,2017-02-27T16:00:00.000Z,10,2017-02-27T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T18:57:00.000Z,2017-02-27T18:00:00.000Z
08p0b000000MSutAAG,,0010b00002CfRC0AAN,0Hn0b000000TgXvCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUeGAO,2017-02-28T18:14:00.000Z,2017-02-28T18:14:00.000Z,89,2017-02-28T18:14:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T21:48:00.000Z,2017-02-28T19:14:00.000Z
08p0b000000MSuuAAG,,0010b00002CfRCDAA3,0Hn0b000000TgXvCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUfGAO,2017-02-28T20:04:00.000Z,2017-02-28T20:04:00.000Z,16,2017-02-28T20:04:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T20:16:00.000Z,2017-02-28T21:04:00.000Z
08p0b000000MSxvAAG,,0010b00002CfRBbAAN,0Hn0b000000TgXzCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXgGAO,2017-02-27T16:00:00.000Z,2017-02-27T16:00:00.000Z,34,2017-02-27T16:00:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T15:05:00.000Z,2017-02-27T17:00:00.000Z
08p0b000000MSxwAAG,,0010b00002CfRBqAAN,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCXhGAO,2017-02-27T20:56:00.000Z,2017-02-27T20:56:00.000Z,77,2017-02-27T20:56:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T06:01:00.000Z,2017-02-27T21:56:00.000Z
08p0b000000MSxxAAG,,0010b00002CfRBbAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCXiGAO,,,37,2017-02-27T18:29:00.000Z,90,Minutes,Canceled,2017-05-23T07:00:00.000Z,,
08p0b000000MSxyAAG,,0010b00002CfRBbAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXjGAO,2017-02-27T21:03:00.000Z,2017-02-27T21:03:00.000Z,47,2017-02-27T21:03:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T09:01:00.000Z,2017-02-27T22:03:00.000Z
08p0b000000MSxzAAG,,0010b00002CfRCyAAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXkGAO,2017-02-27T16:00:00.000Z,2017-02-27T16:00:00.000Z,42,2017-02-27T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-05T08:56:00.000Z,2017-02-27T18:00:00.000Z
08p0b000000MSy0AAG,,0010b00002CfRCKAA3,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXlGAO,2017-02-27T20:44:00.000Z,2017-02-27T20:44:00.000Z,84,2017-02-27T20:44:00.000Z,90,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-04T16:25:00.000Z,2017-02-27T22:14:00.000Z
08p0b000000MSy1AAG,,0010b00002CfRCmAAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXmGAO,2017-02-26T16:00:00.000Z,2017-02-26T16:00:00.000Z,15,2017-02-26T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-27T06:13:00.000Z,2017-02-26T18:00:00.000Z
08p0b000000MSy2AAG,,0010b00002CfRCcAAN,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCXnGAO,2017-02-27T20:23:00.000Z,2017-02-27T20:23:00.000Z,33,2017-02-27T20:23:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-02T23:27:00.000Z,2017-02-27T21:23:00.000Z
08p0b000000MSy3AAG,,0010b00002CfRCcAAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXoGAO,2017-02-27T22:56:00.000Z,2017-02-27T22:56:00.000Z,50,2017-02-27T22:56:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-03T03:00:00.000Z,2017-02-27T23:56:00.000Z
08p0b000000MSy4AAG,,0010b00002CfRBhAAN,0Hn0b000000TgXzCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXpGAO,2017-02-27T18:23:00.000Z,2017-02-27T18:23:00.000Z,105,2017-02-27T18:23:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T23:58:00.000Z,2017-02-27T20:23:00.000Z
08p0b000000MSy5AAG,,0010b00002CfRCzAAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXqGAO,2017-02-26T18:05:00.000Z,2017-02-26T18:05:00.000Z,52,2017-02-26T18:05:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T19:57:00.000Z,2017-02-26T19:05:00.000Z
08p0b000000MSy6AAG,,0010b00002CfRCzAAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXrGAO,2017-02-26T20:13:00.000Z,2017-02-26T20:13:00.000Z,87,2017-02-26T20:13:00.000Z,120,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-02-27T10:16:00.000Z,2017-02-26T22:13:00.000Z
08p0b000000MSy7AAG,,0010b00002CfRC6AAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCXsGAO,2017-02-26T22:30:00.000Z,2017-02-26T22:30:00.000Z,13,2017-02-26T22:30:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-01T15:12:00.000Z,2017-02-26T23:30:00.000Z
08p0b000000MT1BAAW,,0010b00002CfRCkAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCavGAG,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1CAAW,,0010b00002CfRClAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCawGAG,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1DAAW,,0010b00002CfRC4AAN,,0Hh0b000000LFOGCA4,0WO0b000000VCbBGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1EAAW,,0010b00002CfRBwAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCb9GAG,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1FAAW,,0010b00002CfRBwAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCb3GAG,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1GAAW,,0010b00002CfRCrAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCb5GAG,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1HAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbCGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1IAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbFGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1JAAW,,0010b00002CfRCnAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCbGGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1KAAW,,0010b00002CfRBzAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCbDGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1LAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbEGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1MAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbJGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1NAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbKGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT1OAAW,,0010b00002CfRCMAA3,,0Hh0b000000LFOGCA4,0WO0b000000VCbHGAW,,,,2017-03-08T06:11:00.000Z,90,Minutes,None,2017-04-08T05:11:00.000Z,,
08p0b000000MT4vAAG,,0010b00002CfRCzAAN,0Hn0b000000TgXzCAK,0Hh0b000000LFOGCA4,0WO0b000000VCfkGAG,,,,2017-03-08T14:59:00.000Z,120,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT4wAAG,,0010b00002CfRCxAAN,0Hn0b000000TgXzCAK,0Hh0b000000LFOGCA4,0WO0b000000VCflGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT4xAAG,,0010b00002CfRCKAA3,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCfmGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT4yAAG,,0010b00002CfRChAAN,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfnGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT4zAAG,,0010b00002CfRBhAAN,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfoGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT50AAG,,0010b00002CfRBhAAN,0Hn0b000000TgXxCAK,0Hh0b000000LFOGCA4,0WO0b000000VCfpGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT51AAG,,0010b00002CfRCUAA3,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCfqGAG,,,,2017-03-08T14:59:00.000Z,90,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT52AAG,,0010b00002CfRClAAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCfrGAG,,,,2017-03-08T14:59:00.000Z,120,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT53AAG,,0010b00002CfRCVAA3,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfsGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT54AAG,,0010b00002CfRCXAA3,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCftGAG,,,,2017-03-08T14:59:00.000Z,120,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT55AAG,,0010b00002CfRCWAA3,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfuGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT56AAG,,0010b00002CfRCUAA3,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfvGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT57AAG,,0010b00002CfRCMAA3,0Hn0b000000TgY1CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfwGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT58AAG,,0010b00002CfRCWAA3,0Hn0b000000TgY1CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfxGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MT59AAG,,0010b00002CfRCrAAN,0Hn0b000000TgY1CAK,0Hh0b000000LFOGCA4,0WO0b000000VCfyGAG,,,,2017-03-08T14:59:00.000Z,60,Minutes,Scheduled,2017-04-08T00:59:00.000Z,,
08p0b000000MSrjAAG,,0010b00002CfRBbAAN,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCRUGA4,2017-03-07T16:00:00.000Z,2017-03-07T16:00:00.000Z,91,2017-03-07T16:00:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-09T00:57:00.000Z,2017-03-07T17:00:00.000Z
08p0b000000MSrkAAG,,0010b00002CfRBbAAN,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCRVGA4,2017-03-07T17:11:00.000Z,2017-03-07T17:11:00.000Z,123,2017-03-07T17:11:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-13T13:30:00.000Z,2017-03-07T19:11:00.000Z
08p0b000000MSrlAAG,,0010b00002CfRCsAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRWGA4,2017-03-07T22:56:00.000Z,2017-03-07T22:56:00.000Z,63,2017-03-07T22:56:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-08T01:10:00.000Z,2017-03-07T23:56:00.000Z
08p0b000000MSrmAAG,,0010b00002CfRBbAAN,,0Hh0b000000LFOGCA4,0WO0b000000VCRXGA4,,,52,2017-03-07T17:15:00.000Z,60,Minutes,Canceled,2017-05-23T07:00:00.000Z,,
08p0b000000MSrnAAG,,0010b00002CfRCzAAN,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCRYGA4,2017-02-22T20:31:00.000Z,2017-02-22T20:31:00.000Z,15,2017-02-22T20:31:00.000Z,60,Minutes,Completed,2017-02-25T22:25:00.000Z,2017-02-25T22:26:00.000Z,2017-02-22T21:31:00.000Z
08p0b000000MSroAAG,,0010b00002CfRCzAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRZGA4,2017-02-22T22:52:00.000Z,2017-02-22T22:52:00.000Z,22,2017-02-22T22:52:00.000Z,60,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-02-25T11:23:00.000Z,2017-02-22T23:52:00.000Z
08p0b000000MSrpAAG,,0010b00002CfRCzAAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRaGAO,2017-02-22T22:16:00.000Z,2017-02-22T22:16:00.000Z,49,2017-02-22T22:16:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-26T03:51:00.000Z,2017-02-22T23:16:00.000Z
08p0b000000MSrqAAG,,0010b00002CfRCzAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRbGAO,2017-02-23T20:21:00.000Z,2017-02-23T20:21:00.000Z,2,2017-02-23T20:21:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-25T20:06:00.000Z,2017-02-23T21:21:00.000Z
08p0b000000MSrrAAG,,0010b00002CfRBzAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRcGAO,2017-02-23T16:00:00.000Z,2017-02-23T16:00:00.000Z,21,2017-02-23T16:00:00.000Z,60,Minutes,Completed,2017-02-24T23:24:00.000Z,2017-02-24T23:25:00.000Z,2017-02-23T17:00:00.000Z
08p0b000000MSrsAAG,,0010b00002CfRC4AAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRdGAO,2017-02-23T17:19:00.000Z,2017-02-23T17:19:00.000Z,110,2017-02-23T17:19:00.000Z,90,Minutes,Cannot Complete,2017-05-23T07:00:00.000Z,2017-02-25T14:55:00.000Z,2017-02-23T18:49:00.000Z
08p0b000000MSrtAAG,,0010b00002CfRCmAAN,0Hn0b000000TgY2CAK,0Hh0b000000LFOGCA4,0WO0b000000VCReGAO,2017-02-23T18:43:00.000Z,2017-02-23T18:43:00.000Z,18,2017-02-23T18:43:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T04:36:00.000Z,2017-02-23T20:43:00.000Z
08p0b000000MSruAAG,,0010b00002CfRBhAAN,0Hn0b000000TgXuCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRfGAO,2017-02-23T23:14:00.000Z,2017-02-23T22:13:00.000Z,32,2017-02-23T22:13:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-24T13:13:00.000Z,2017-02-23T23:13:00.000Z
08p0b000000MSriAAG,,0010b00002CfRBbAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRTGA4,2017-03-07T21:52:00.000Z,2017-03-07T21:52:00.000Z,55,2017-03-07T21:52:00.000Z,60,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-03-08T01:06:00.000Z,2017-03-07T22:52:00.000Z
08p0b000000MSuvAAG,,0010b00002CfRC1AAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUgGAO,2017-03-01T18:25:00.000Z,2017-03-01T18:25:00.000Z,17,2017-03-01T18:25:00.000Z,90,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-04T11:56:00.000Z,2017-03-01T19:55:00.000Z
08p0b000000MSuwAAG,,0010b00002CfRCMAA3,0Hn0b000000TgY0CAK,0Hh0b000000LFOGCA4,0WO0b000000VCUhGAO,2017-02-28T18:40:00.000Z,2017-02-28T18:40:00.000Z,115,2017-02-28T18:40:00.000Z,90,Minutes,Completed,2017-03-02T19:44:00.000Z,2017-03-02T19:45:00.000Z,2017-02-28T20:10:00.000Z
08p0b000000MSuxAAG,,0010b00002CfRCzAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUiGAO,2017-03-03T18:48:00.000Z,2017-03-03T18:48:00.000Z,29,2017-03-03T18:48:00.000Z,60,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-03-04T18:48:00.000Z,2017-03-03T19:48:00.000Z
08p0b000000MSuyAAG,,0010b00002CfRCcAAN,0Hn0b000000TgXyCAK,0Hh0b000000LFOGCA4,0WO0b000000VCUjGAO,2017-03-03T19:50:00.000Z,2017-03-03T19:50:00.000Z,55,2017-03-03T19:50:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-04T00:06:00.000Z,2017-03-03T20:50:00.000Z
