Month,Store,Item,City,Average Age,Percent Male,Competition,Daily Revenue,Marketing Campaign,Reg Price,Discount,Price,Quantity,Cost,Profit,Profit Linear,Profit Log,Outlier
January,Chicago 1,Cameras,Chicago,38,0.478597229,High,70200,Door Buster,300,0.1,270,260,150,31200,71.31254532,8.317433721,FALSE
January,Boston 2,Cameras,Boston,54,0.551365072,High,61830,Friends & Family,300,0.1,270,229,150,27480,69.96374184,8.215388824,FALSE
January,Boston 1,Cameras,Boston,47,0.518898817,Normal,55620,Social,300,0.1,270,206,150,24720,68.96301668,8.13031432,FALSE
January,New York 4,Cell Phones,New York,48,0.451250277,Low,33490,Social,200,0.15,170,197,100,13790,65,7.661185368,FALSE
January,New York 3,Cell Phones,New York,60,0.586681454,Normal,26010,Social,200,0.15,170,153,100,10710,63.88324873,7.458022667,FALSE
January,New York 2,Cell Phones,New York,57,0.484901613,Normal,44540,Regional,200,0.15,170,262,100,18340,66.64974619,7.890369729,FALSE
January,New York 1,Cell Phones,New York,21,0.481182534,High,36040,Door Buster,200,0.15,170,212,100,14840,65.38071066,7.720167223,FALSE
January,Chicago 3,Cell Phones,Chicago,38,0.426688559,High,32640,Social,200,0.15,170,192,100,13440,64.87309645,7.640522054,FALSE
January,Chicago 2,Cell Phones,Chicago,62,0.481715354,High,38590,Friends & Family,200,0.15,170,227,100,15890,65.76142132,7.775115172,FALSE
January,Chicago 1,Cell Phones,Chicago,52,0.547727207,Low,45730,Door Buster,200,0.15,170,269,100,18830,66.82741117,7.911562333,FALSE
January,Boston 2,Cell Phones,Boston,28,0.494931743,Low,30090,Door Buster,200,0.15,170,177,100,12390,64.49238579,7.575139794,FALSE
January,Boston 1,Cell Phones,Boston,45,0.531370709,Normal,32640,Friends & Family,200,0.15,170,192,100,13440,64.87309645,7.640522054,FALSE
January,New York 4,Computers,New York,37,0.406891237,Low,41360,Social,1100,0.2,880,47,550,15510,65.62364032,7.755660191,FALSE
January,New York 3,Computers,New York,74,0.479708334,High,29040,Social,1100,0.2,880,33,550,10890,63.94851342,7.471418955,FALSE
January,New York 2,Computers,New York,43,0.51,Low,68640,Friends & Family,1100,0.2,880,78,550,25740,69.33284989,8.162813151,FALSE
January,New York 1,Computers,New York,25,0.468584663,High,47520,Friends & Family,1100,0.2,880,54,550,17820,66.46120377,7.867251183,FALSE
January,Chicago 3,Computers,Chicago,61,0.49626472,Low,44000,Friends & Family,1100,0.2,880,50,550,16500,65.98259608,7.805393081,FALSE
January,Chicago 2,Computers,Chicago,55,0.426106786,High,29920,Door Buster,1100,0.2,880,34,550,11220,64.06816534,7.495413532,FALSE
January,Chicago 1,Computers,Chicago,55,0.497466619,Low,56320,Social,1100,0.2,880,64,550,21120,67.65772299,8.003809001,FALSE
January,Boston 2,Computers,Boston,42,0.475977008,Low,80960,Social,1100,0.2,880,92,550,30360,71.00797679,8.295497426,FALSE
January,Boston 1,Computers,Boston,38,0.562413012,Low,89760,Door Buster,1100,0.2,880,102,550,33660,72.20449601,8.378432647,FALSE
January,New York 4,DVD Players,New York,30,0.507606432,High,13365,Regional,150,0.1,135,99,75,5940,62.15373459,6.984232068,FALSE
January,New York 3,DVD Players,New York,63,0.567606432,Low,13230,Regional,150,0.1,135,98,75,5880,62.1319797,6.976072011,FALSE
January,New York 2,DVD Players,New York,66,0.56045318,Low,20385,Friends & Family,150,0.1,135,151,75,9060,63.28498912,7.323546803,FALSE
January,New York 1,DVD Players,New York,40,0.537742304,Normal,17550,Regional,150,0.1,135,130,75,7800,62.82813633,7.203187655,FALSE
January,Chicago 3,DVD Players,Chicago,33,0.48373528,High,27135,Door Buster,150,0.1,135,201,75,12060,64.37273387,7.553441924,FALSE
January,Chicago 2,DVD Players,Chicago,37,0.413893214,Low,28620,Social,150,0.1,135,212,75,12720,64.61203771,7.596267283,FALSE
January,Chicago 1,DVD Players,Chicago,51,0.51626472,High,35640,Friends & Family,150,0.1,135,264,75,15840,65.74329224,7.772582051,FALSE
January,Boston 2,DVD Players,Boston,48,0.469607388,High,15390,Door Buster,150,0.1,135,114,75,6840,62.48005801,7.09762521,FALSE
January,Boston 1,DVD Players,Boston,52,0.556204555,Normal,16605,Door Buster,150,0.1,135,123,75,7380,62.67585207,7.158699538,FALSE
January,New York 4,Headphones,New York,42,0.513934804,Low,30870,Door Buster,70,0.1,63,490,35,13720,64.97461929,7.657094984,FALSE
January,New York 3,Headphones,New York,73,0.498697758,Low,35028,Door Buster,70,0.1,63,556,35,15568,65.64467005,7.758660259,FALSE
January,New York 2,Headphones,New York,38,0.573311441,High,53676,Friends & Family,70,0.1,63,852,35,23856,68.64974619,8.1017191,FALSE
January,New York 1,Headphones,New York,41,0.481182534,Normal,47187,Friends & Family,70,0.1,63,749,35,20972,67.60406091,7.998156774,FALSE
January,Chicago 3,Headphones,Chicago,35,0.452272793,High,13860,Social,70,0.1,63,220,35,6160,62.23350254,7.013462876,FALSE
January,Chicago 2,Headphones,Chicago,53,0.432217413,Normal,10899,Door Buster,70,0.1,63,173,35,4844,61.75634518,6.820290779,FALSE
January,Chicago 1,Headphones,Chicago,45,0.484901613,High,24444,Regional,70,0.1,63,388,35,10864,63.93908629,7.469497677,FALSE
January,Boston 2,Headphones,Boston,35,0.576795226,Normal,25137,Friends & Family,70,0.1,63,399,35,11172,64.05076142,7.491967616,FALSE
January,Boston 1,Headphones,Boston,42,0.487296592,Normal,28476,Friends & Family,70,0.1,63,452,35,12656,64.58883249,7.592213006,FALSE
January,New York 4,Home Audio,New York,39,0.432393568,Normal,63200,Regional,400,0,400,158,200,31600,71.45757796,8.327672823,FALSE
January,New York 3,Home Audio,New York,73,0.593108763,High,39600,Social,400,0,400,99,200,19800,67.1791153,7.951935607,FALSE
January,New York 2,Home Audio,New York,60,0.51,High,77600,Regional,400,0,400,194,200,38800,74.06816534,8.492654833,FALSE
January,New York 1,Home Audio,New York,18,0.487461604,Normal,60800,Door Buster,400,0,400,152,200,30400,71.02248006,8.296555699,FALSE
January,Chicago 3,Home Audio,Chicago,33,0.502533381,Low,40400,Friends & Family,400,0,400,101,200,20200,67.32414793,7.968011316,FALSE
January,Chicago 2,Home Audio,Chicago,38,0.444465654,High,35200,Friends & Family,400,0,400,88,200,17600,66.38143582,7.857266475,FALSE
January,Chicago 1,Home Audio,Chicago,55,0.45313651,Low,42000,Door Buster,400,0,400,105,200,21000,67.6142132,7.999229167,FALSE
January,Boston 2,Home Audio,Boston,48,0.576795226,Low,47200,Door Buster,400,0,400,118,200,23600,68.55692531,8.093047311,FALSE
January,Boston 1,Home Audio,Boston,52,0.500031364,High,53200,Friends & Family,400,0,400,133,200,26600,69.64467005,8.189228689,FALSE
January,New York 4,Tablets,New York,42,0.413318546,High,51660,Social,700,0.1,630,82,350,22960,68.3248731,8.070949462,FALSE
January,New York 3,Tablets,New York,57,0.511250277,Low,55440,Door Buster,700,0.1,630,88,350,24640,68.93401015,8.127708941,FALSE
January,New York 2,Tablets,New York,59,0.56045318,Normal,88200,Friends & Family,700,0.1,630,140,350,39200,74.21319797,8.500898584,FALSE
January,New York 1,Tablets,New York,40,0.563336776,High,44730,Door Buster,700,0.1,630,71,350,19880,67.20812183,7.955176574,FALSE
January,Chicago 3,Tablets,Chicago,58,0.426688559,Normal,43470,Social,700,0.1,630,69,350,19320,67.00507614,7.932210479,FALSE
January,Chicago 2,Tablets,Chicago,43,0.450611104,Normal,52290,Regional,700,0.1,630,83,350,23240,68.42639594,8.08069211,FALSE
January,Chicago 1,Tablets,Chicago,28,0.484901613,High,47880,Regional,700,0.1,630,76,350,21280,67.71573604,8.009875133,FALSE
January,Boston 2,Tablets,Boston,39,0.507481666,High,90720,Door Buster,700,0.1,630,144,350,40320,74.61928934,8.523541169,FALSE
January,Boston 1,Tablets,Boston,54,0.512635119,Normal,109620,Regional,700,0.1,630,174,350,48720,77.66497462,8.675646061,FALSE
January,New York 4,TVs,New York,36,0.526681454,High,21850,Social,1000,0.05,950,23,500,10350,63.75271936,7.430541063,FALSE
January,New York 3,TVs,New York,69,0.50498196,High,17100,Friends & Family,1000,0.05,950,18,500,8100,62.9369108,7.23352177,FALSE
January,New York 2,TVs,New York,43,0.484901613,High,18050,Door Buster,1000,0.05,950,19,500,8550,63.10007252,7.276978766,FALSE
January,New York 1,TVs,New York,28,0.55047337,Low,36100,Friends & Family,1000,0.05,950,38,500,17100,66.20014503,7.834101799,FALSE
January,Chicago 3,TVs,Chicago,52,0.452272793,Low,54150,Regional,1000,0.05,950,57,500,25650,69.30021755,8.159997881,FALSE
January,Chicago 2,TVs,Chicago,39,0.456776101,Normal,41800,Regional,1000,0.05,950,44,500,19800,67.1791153,7.951935607,FALSE
January,Chicago 1,TVs,Chicago,27,0.535098387,High,28500,Friends & Family,1000,0.05,950,30,500,13500,64.89485134,7.644102277,FALSE
January,Boston 2,TVs,Boston,32,0.570392612,High,34200,Friends & Family,1000,0.05,950,36,500,16200,65.87382161,7.790644803,FALSE
January,Boston 1,TVs,Boston,48,0.525142654,Low,39900,Regional,1000,0.05,950,42,500,18900,66.85279188,7.914544743,FALSE
January,New York 4,Video Games,New York,40,0.476244665,High,2850,Regional,50,0.05,47.5,60,25,1350,60.48948513,5.793379622,FALSE
January,New York 3,Video Games,New York,60,0.586681454,Low,1330,Regional,50,0.05,47.5,28,25,630,60.2284264,5.180802973,FALSE
January,New York 2,Video Games,New York,57,0.554075904,Low,1710,Social,50,0.05,47.5,36,25,810,60.29369108,5.382799115,FALSE
January,New York 1,Video Games,New York,25,0.52510843,Low,4940,Regional,50,0.05,47.5,104,25,2340,60.8484409,6.235484116,FALSE
January,Chicago 3,Video Games,Chicago,35,0.477466619,High,2470,Friends & Family,50,0.05,47.5,52,25,1170,60.42422045,5.678361083,FALSE
January,Chicago 2,Video Games,Chicago,45,0.42,High,617.5,Door Buster,50,0.05,47.5,13,25,292.5,60.10605511,4.564115018,FALSE
January,Chicago 1,Video Games,Chicago,38,0.45313651,Low,2517.5,Social,50,0.05,47.5,53,25,1192.5,60.43237854,5.693671234,FALSE
January,Boston 2,Video Games,Boston,32,0.494931743,Low,2470,Door Buster,50,0.05,47.5,52,25,1170,60.42422045,5.678361083,FALSE
January,Boston 1,Video Games,Boston,44,0.593652606,High,2517.5,Door Buster,50,0.05,47.5,53,25,1192.5,60.43237854,5.693671234,FALSE
January,New York 4,Cables,New York,43,0.451250277,High,6462,Door Buster,20,0.1,18,359,10,2872,61.0413343,6.400140279,FALSE
January,New York 3,Cables,New York,67,0.567606432,High,4716,Door Buster,20,0.1,18,262,10,2096,60.75997099,6.146974084,FALSE
January,New York 2,Cables,New York,41,0.491190061,Low,12744,Friends & Family,20,0.1,18,708,10,5664,62.05366207,6.945990215,FALSE
January,New York 1,Cables,New York,45,0.537742304,Normal,6606,Friends & Family,20,0.1,18,367,10,2936,61.06453952,6.417854685,FALSE
January,Chicago 3,Cables,Chicago,43,0.43954682,Low,9594,Friends & Family,20,0.1,18,533,10,4264,61.54604786,6.717784917,FALSE
January,Chicago 2,Cables,Chicago,37,0.432217413,Low,5400,Social,20,0.1,18,300,10,2400,60.87019579,6.255833523,FALSE
January,Chicago 1,Cables,Chicago,42,0.45313651,High,7884,Door Buster,20,0.1,18,438,10,3504,61.27048586,6.560005076,FALSE
January,Boston 2,Cables,Boston,29,0.475977008,High,8298,Social,20,0.1,18,461,10,3688,61.33720087,6.601140746,FALSE
January,Boston 1,Cables,Boston,47,0.493682618,High,9360,Door Buster,20,0.1,18,520,10,4160,61.50833938,6.697938016,FALSE
January,New York 4,Cameras,New York,27,0.49501804,High,77760,Friends & Family,300,0.1,270,288,150,34560,72.53081943,8.399641229,FALSE
January,New York 3,Cameras,New York,75,0.50498196,Low,60210,Door Buster,300,0.1,270,223,150,26760,69.7026831,8.194048845,FALSE
January,New York 2,Cameras,New York,35,0.491190061,Low,89370,Social,300,0.1,270,331,150,39720,74.40174039,8.511490589,FALSE
January,New York 1,Cameras,New York,43,0.455906459,Low,80730,Social,300,0.1,270,299,150,35880,73.00942712,8.429768589,FALSE
January,Chicago 3,Cameras,Chicago,57,0.445924096,Low,82350,Friends & Family,300,0.1,270,305,150,36600,73.27048586,8.445737829,FALSE
January,Chicago 2,Cameras,Chicago,62,0.481715354,Normal,85050,Friends & Family,300,0.1,270,315,150,37800,73.70558376,8.471667776,FALSE
January,Chicago 1,Cameras,Chicago,44,0.478597229,Normal,82620,Door Buster,300,0.1,270,306,150,36720,73.31399565,8.448368793,FALSE
January,Boston 2,Cameras,Boston,28,0.488634928,High,55620,Friends & Family,300,0.1,270,206,150,24720,68.96301668,8.13031432,FALSE
January,Boston 1,Cameras,Boston,52,0.518898817,High,58590,Regional,300,0.1,270,217,150,26040,69.44162437,8.172126797,FALSE
January,New York 4,Cell Phones,New York,53,0.513934804,High,29410,Door Buster,200,0.15,170,173,100,12110,64.39086294,7.556767368,FALSE
January,New York 3,Cell Phones,New York,54,0.473318546,High,34680,Regional,200,0.15,170,204,100,14280,65.17766497,7.689249618,FALSE
January,New York 2,Cell Phones,New York,46,0.50373528,High,38250,Regional,200,0.15,170,225,100,15750,65.7106599,7.768002217,FALSE
January,New York 1,Cell Phones,New York,34,0.531415337,Low,46070,Friends & Family,200,0.15,170,271,100,18970,66.87817259,7.917516128,FALSE
January,Chicago 3,Cell Phones,Chicago,60,0.521402771,High,37910,Friends & Family,200,0.15,170,223,100,15610,65.65989848,7.760825753,FALSE
January,Chicago 2,Cell Phones,Chicago,58,0.383223899,Normal,44880,Friends & Family,200,0.15,170,264,100,18480,66.70050761,7.896481991,FALSE
January,Chicago 1,Cell Phones,Chicago,50,0.573311441,Normal,48280,Regional,200,0.15,170,284,100,19880,67.20812183,7.955176574,FALSE
January,Boston 2,Cell Phones,Boston,54,0.494931743,High,23290,Friends & Family,200,0.15,170,137,100,9590,63.47715736,7.369241903,FALSE
January,Boston 1,Cell Phones,Boston,52,0.593652606,High,26350,Regional,200,0.15,170,155,100,10850,63.93401015,7.468461238,FALSE
January,New York 4,Computers,New York,26,0.526681454,High,33440,Regional,1100,0.2,880,38,550,12540,64.54677302,7.584812097,FALSE
January,New York 3,Computers,New York,50,0.53,Low,34320,Door Buster,1100,0.2,880,39,550,12870,64.66642495,7.605690118,FALSE
January,New York 2,Computers,New York,57,0.50373528,Low,66880,Regional,1100,0.2,880,76,550,25080,69.09354605,8.141935129,FALSE
January,New York 1,Computers,New York,18,0.512538396,High,34320,Door Buster,1100,0.2,880,39,550,12870,64.66642495,7.605690118,FALSE
January,Chicago 3,Computers,Chicago,43,0.471190061,Low,44000,Door Buster,1100,0.2,880,50,550,16500,65.98259608,7.805393081,FALSE
January,Chicago 2,Computers,Chicago,45,0.426106786,Normal,34320,Door Buster,1100,0.2,880,39,550,12870,64.66642495,7.605690118,FALSE
January,Chicago 1,Computers,Chicago,49,0.535098387,High,31680,Social,1100,0.2,880,36,550,11880,64.30746918,7.5413551,FALSE
January,Boston 2,Computers,Boston,32,0.494931743,High,72160,Friends & Family,1100,0.2,880,82,550,27060,69.81145758,8.203009458,FALSE
January,Boston 1,Computers,Boston,48,0.512635119,Low,95920,Regional,1100,0.2,880,109,550,35970,73.04205946,8.431782182,FALSE
January,New York 4,DVD Players,New York,39,0.438697758,Low,14580,Friends & Family,150,0.1,135,108,75,6480,62.34952864,7.054168213,FALSE
January,New York 3,DVD Players,New York,65,0.523755335,Low,9450,Social,150,0.1,135,70,75,4200,61.52284264,6.705629545,FALSE
January,New York 2,DVD Players,New York,48,0.465924096,High,12420,Friends & Family,150,0.1,135,92,75,5520,62.00145033,6.925291424,FALSE
January,New York 1,DVD Players,New York,32,0.5,High,12015,Door Buster,150,0.1,135,89,75,5340,61.93618564,6.898645051,FALSE
January,Chicago 3,DVD Players,Chicago,43,0.49,Low,40500,Regional,150,0.1,135,300,75,18000,66.52646846,7.875329227,FALSE
January,Chicago 2,DVD Players,Chicago,52,0.444465654,Low,37665,Regional,150,0.1,135,279,75,16740,66.06961566,7.816999906,FALSE
January,Chicago 1,DVD Players,Chicago,41,0.56045318,High,32805,Social,150,0.1,135,243,75,14580,65.28643945,7.705960378,FALSE
January,Boston 2,DVD Players,Boston,32,0.488634928,High,19440,Regional,150,0.1,135,144,75,8640,63.13270486,7.285395164,FALSE
January,Boston 1,DVD Players,Boston,48,0.55,High,9990,Door Buster,150,0.1,135,74,75,4440,61.60986222,6.750294293,FALSE
January,New York 4,Headphones,New York,27,0.533108763,High,26271,Friends & Family,70,0.1,63,417,35,11676,64.23350254,7.527433309,FALSE
January,New York 3,Headphones,New York,63,0.523755335,Low,32697,Door Buster,70,0.1,63,519,35,14532,65.26903553,7.703309894,FALSE
January,New York 2,Headphones,New York,53,0.535098387,Low,59031,Friends & Family,70,0.1,63,937,35,26236,69.51269036,8.178153938,FALSE
January,New York 1,Headphones,New York,18,0.544093541,High,42651,Friends & Family,70,0.1,63,677,35,18956,66.87309645,7.916922729,FALSE
January,Chicago 3,Headphones,Chicago,50,0.452272793,Low,16317,Friends & Family,70,0.1,63,259,35,7252,62.62944162,7.1446367,FALSE
January,Chicago 2,Headphones,Chicago,40,0.401664262,Low,14679,Social,70,0.1,63,233,35,6524,62.36548223,7.059607388,FALSE
January,Chicago 1,Headphones,Chicago,27,0.484901613,High,19656,Door Buster,70,0.1,63,312,35,8736,63.16751269,7.294276565,FALSE
January,Boston 2,Headphones,Boston,41,0.488634928,High,21231,Friends & Family,70,0.1,63,337,35,9436,63.4213198,7.356230074,FALSE
January,Boston 1,Headphones,Boston,28,0.568629291,High,25389,Friends & Family,70,0.1,63,403,35,11284,64.09137056,7.499985225,FALSE
January,New York 4,Home Audio,New York,42,0.482493258,High,46400,Door Buster,400,0,400,116,200,23200,68.41189268,8.079307512,FALSE
January,New York 3,Home Audio,New York,46,0.542493258,Normal,64000,Friends & Family,400,0,400,160,200,32000,71.60261059,8.337783128,FALSE
January,New York 2,Home Audio,New York,62,0.472272793,High,58800,Friends & Family,400,0,400,147,200,29400,70.65989848,8.269671633,FALSE
January,New York 1,Home Audio,New York,42,0.462257696,Normal,72400,Regional,400,0,400,181,200,36200,73.12545323,8.436905228,FALSE
January,Chicago 3,Home Audio,Chicago,42,0.508809939,High,38800,Friends & Family,400,0,400,97,200,19400,67.03408267,7.9355318,FALSE
January,Chicago 2,Home Audio,Chicago,64,0.462964747,High,35200,Friends & Family,400,0,400,88,200,17600,66.38143582,7.857266475,FALSE
January,Chicago 1,Home Audio,Chicago,36,0.491190061,Low,49600,Regional,400,0,400,124,200,24800,68.99202321,8.132911281,FALSE
January,Boston 2,Home Audio,Boston,47,0.463204774,Low,58800,Friends & Family,400,0,400,147,200,29400,70.65989848,8.269671633,FALSE
January,Boston 1,Home Audio,Boston,43,0.493682618,High,51200,Friends & Family,400,0,400,128,200,25600,69.28208847,8.158429571,FALSE
January,New York 4,Tablets,New York,30,0.507606432,Low,65520,Social,700,0.1,630,104,350,29120,70.55837563,8.261980105,FALSE
January,New York 3,Tablets,New York,50,0.486065196,High,59220,Friends & Family,700,0.1,630,94,350,26320,69.54314721,8.180723228,FALSE
January,New York 2,Tablets,New York,62,0.497466619,High,79380,Friends & Family,700,0.1,630,126,350,35280,72.79187817,8.416214159,FALSE
January,New York 1,Tablets,New York,18,0.468584663,High,67410,Friends & Family,700,0.1,630,107,350,29960,70.86294416,8.284837341,FALSE
January,Chicago 3,Tablets,Chicago,30,0.477466619,High,41580,Social,700,0.1,630,66,350,18480,66.70050761,7.896481991,FALSE
January,Chicago 2,Tablets,Chicago,37,0.481715354,Normal,50400,Friends & Family,700,0.1,630,80,350,22400,68.12182741,8.051102561,FALSE
January,Chicago 1,Tablets,Chicago,50,0.56045318,High,52290,Regional,700,0.1,630,83,350,23240,68.42639594,8.08069211,FALSE
January,Boston 2,Tablets,Boston,52,0.494931743,Low,97020,Social,700,0.1,630,154,350,43120,75.63451777,8.577504964,FALSE
January,Boston 1,Tablets,Boston,56,0.537586988,High,64260,Friends & Family,700,0.1,630,102,350,28560,70.35532995,8.24637265,FALSE
January,New York 4,TVs,New York,52,0.457506742,Low,33250,Friends & Family,1000,0.05,950,35,500,15750,65.7106599,7.768002217,FALSE
January,New York 3,TVs,New York,65,0.561302242,High,8550,Social,1000,0.05,950,9,500,4050,61.4684554,6.676398737,FALSE
January,New York 2,TVs,New York,38,0.45313651,High,12350,Social,1000,0.05,950,13,500,5850,62.12110225,6.971960705,FALSE
January,New York 1,TVs,New York,21,0.537742304,High,31350,Door Buster,1000,0.05,950,33,500,14850,65.38433648,7.720708657,FALSE
January,Chicago 3,TVs,Chicago,37,0.426688559,High,19000,Door Buster,1000,0.05,950,20,500,9000,63.26323423,7.318206194,FALSE
January,Chicago 2,TVs,Chicago,53,0.407782587,Low,46550,Regional,1000,0.05,950,49,500,22050,67.99492386,8.038444683,FALSE
January,Chicago 1,TVs,Chicago,46,0.484901613,Low,50350,Social,1000,0.05,950,53,500,23850,68.6475707,8.101516922,FALSE
January,Boston 2,TVs,Boston,50,0.494931743,High,24700,Friends & Family,1000,0.05,950,26,500,11700,64.2422045,7.529083738,FALSE
January,Boston 1,TVs,Boston,49,0.506347394,Low,39900,Friends & Family,1000,0.05,950,42,500,18900,66.85279188,7.914544743,FALSE
January,New York 4,Video Games,New York,46,0.413318546,Normal,1757.5,Door Buster,50,0.05,47.5,37,25,832.5,60.30184917,5.404821277,FALSE
January,New York 3,Video Games,New York,44,0.567606432,Low,712.5,Door Buster,50,0.05,47.5,15,25,337.5,60.12237128,4.679133557,FALSE
January,New York 2,Video Games,New York,37,0.528809939,High,1472.5,Door Buster,50,0.05,47.5,31,25,697.5,60.25290065,5.262611693,FALSE
January,New York 1,Video Games,New York,42,0.436663224,Low,3277.5,Friends & Family,50,0.05,47.5,69,25,1552.5,60.5629079,5.90571449,FALSE
January,Chicago 3,Video Games,Chicago,50,0.43954682,Low,3040,Friends & Family,50,0.05,47.5,64,25,1440,60.52211748,5.845253016,FALSE
January,Chicago 2,Video Games,Chicago,45,0.462964747,Normal,760,Social,50,0.05,47.5,16,25,360,60.13052937,4.73100695,FALSE
January,Chicago 1,Video Games,Chicago,56,0.535098387,High,4180,Regional,50,0.05,47.5,88,25,1980,60.71791153,6.101212953,FALSE
January,Boston 2,Video Games,Boston,43,0.482318084,Low,4180,Friends & Family,50,0.05,47.5,88,25,1980,60.71791153,6.101212953,FALSE
January,Boston 1,Video Games,Boston,40,0.581101183,Low,4607.5,Friends & Family,50,0.05,47.5,97,25,2182.5,60.7913343,6.179478278,FALSE
January,New York 4,Cables,New York,56,0.47,Low,10026,Friends & Family,20,0.1,18,557,10,4456,61.61566352,6.753185514,FALSE
January,New York 3,Cables,New York,49,0.466891237,High,5310,Door Buster,20,0.1,18,295,10,2360,60.85569253,6.242324656,FALSE
January,New York 2,Cables,New York,58,0.554075904,High,7344,Social,20,0.1,18,408,10,3264,61.18346628,6.502977006,FALSE
January,New York 1,Cables,New York,35,0.55047337,High,8712,Friends & Family,20,0.1,18,484,10,3872,61.40391588,6.640273233,FALSE
January,Chicago 3,Cables,Chicago,56,0.553311441,Normal,6678,Friends & Family,20,0.1,18,371,10,2968,61.07614213,6.426567601,FALSE
January,Chicago 2,Cables,Chicago,64,0.475429956,Low,5490,Social,20,0.1,18,305,10,2440,60.88469906,6.269119092,FALSE
January,Chicago 1,Cables,Chicago,48,0.535098387,High,7848,Door Buster,20,0.1,18,436,10,3488,61.26468455,6.556326541,FALSE
January,Boston 2,Cables,Boston,39,0.570392612,High,8838,Door Buster,20,0.1,18,491,10,3928,61.42422045,6.651814581,FALSE
January,Boston 1,Cables,Boston,47,0.581101183,High,12114,Regional,20,0.1,18,673,10,5384,61.95213923,6.905240645,FALSE
January,New York 4,Cameras,New York,41,0.526681454,High,76680,Door Buster,300,0.1,270,284,150,34080,72.35678028,8.388399666,FALSE
January,New York 3,Cameras,New York,46,0.492393568,High,78030,Friends & Family,300,0.1,270,289,150,34680,72.57432922,8.402427224,FALSE
January,New York 2,Cameras,New York,34,0.45954682,Normal,84240,Social,300,0.1,270,312,150,37440,73.57505439,8.463976247,FALSE
January,New York 1,Cameras,New York,34,0.462257696,Low,74250,Friends & Family,300,0.1,270,275,150,33000,71.96519217,8.362516114,FALSE
January,Chicago 3,Cameras,Chicago,52,0.527727207,High,63720,Door Buster,300,0.1,270,236,150,28320,70.26831037,8.239589837,FALSE
January,Chicago 2,Cameras,Chicago,64,0.481715354,Normal,86400,Friends & Family,300,0.1,270,320,150,38400,73.9231327,8.484325654,FALSE
January,Chicago 1,Cameras,Chicago,32,0.45313651,High,80460,Regional,300,0.1,270,298,150,35760,72.96591733,8.427075928,FALSE
January,Boston 2,Cameras,Boston,53,0.52,High,56430,Friends & Family,300,0.1,270,209,150,25080,69.09354605,8.141935129,FALSE
January,Boston 1,Cameras,Boston,36,0.518898817,High,59940,Friends & Family,300,0.1,270,222,150,26640,69.65917331,8.190436441,FALSE
January,New York 4,Cell Phones,New York,25,0.501302242,Low,34510,Door Buster,200,0.15,170,203,100,14210,65.15228426,7.685299936,FALSE
January,New York 3,Cell Phones,New York,72,0.573934804,High,29750,Friends & Family,200,0.15,170,175,100,12250,64.44162437,7.566006075,FALSE
January,New York 2,Cell Phones,New York,51,0.522533381,Normal,45390,Regional,200,0.15,170,267,100,18690,66.77664975,7.905564106,FALSE
January,New York 1,Cell Phones,New York,29,0.563336776,High,38080,Friends & Family,200,0.15,170,224,100,15680,65.68527919,7.764421995,FALSE
