"DiscountPercentage","InitialPlannedQuantity","Name","PricebookEntry.External_Id__c","SalesAgreement.External_Id__c","SalesPrice","External_Id__c","LastProcessedDate","analyticsdemo_batch_id__c"
1,1728,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.84",584,"MFG_SalesAgreementProduct.51","2019-10-24","20191024191458752523"
9,24,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.64",7275,"MFG_SalesAgreementProduct.52","2019-10-24","20191024191458752523"
8,360,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.43",624,"MFG_SalesAgreementProduct.53","2019-10-24","20191024191458752523"
9,108,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.106",6072,"MFG_SalesAgreementProduct.54","2019-10-24","20191024191458752523"
5,324,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.100",1720,"MFG_SalesAgreementProduct.55","2019-10-24","20191024191458752523"
20,288,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.26",5117,"MFG_SalesAgreementProduct.56","2019-10-24","20191024191458752523"
1,54,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.96",4657,"MFG_SalesAgreementProduct.57","2019-10-24","20191024191458752523"
12,6,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.86",8910,"MFG_SalesAgreementProduct.58","2019-10-24","20191024191458752523"
20,378,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.73",3735,"MFG_SalesAgreementProduct.59","2019-10-24","20191024191458752523"
20,36,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.9",1780,"MFG_SalesAgreementProduct.60","2019-10-24","20191024191458752523"
3,162,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.84",7695,"MFG_SalesAgreementProduct.61","2019-10-24","20191024191458752523"
15,36,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.31",3486,"MFG_SalesAgreementProduct.62","2019-10-24","20191024191458752523"
16,72,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.14",15785,"MFG_SalesAgreementProduct.63","2019-10-24","20191024191458752523"
12,84,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.16",3735,"MFG_SalesAgreementProduct.64","2019-10-24","20191024191458752523"
0,216,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.71",4455,"MFG_SalesAgreementProduct.65","2019-10-24","20191024191458752523"
9,1,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.82",15015,"MFG_SalesAgreementProduct.66","2019-10-24","20191024191458752523"
14,252,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.81",3915,"MFG_SalesAgreementProduct.67","2019-10-24","20191024191458752523"
10,30,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.96",7050,"MFG_SalesAgreementProduct.68","2019-10-24","20191024191458752523"
7,48,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.55",4200,"MFG_SalesAgreementProduct.69","2019-10-24","20191024191458752523"
17,24,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.45",16195,"MFG_SalesAgreementProduct.70","2019-10-24","20191024191458752523"
5,216,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.90",1700,"MFG_SalesAgreementProduct.71","2019-10-24","20191024191458752523"
13,288,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.91",4750,"MFG_SalesAgreementProduct.72","2019-10-24","20191024191458752523"
9,18,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.23",7830,"MFG_SalesAgreementProduct.73","2019-10-24","20191024191458752523"
3,36,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.42",7110,"MFG_SalesAgreementProduct.74","2019-10-24","20191024191458752523"
0,252,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.59",5040,"MFG_SalesAgreementProduct.75","2019-10-24","20191024191458752523"
2,72,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.39",7500,"MFG_SalesAgreementProduct.76","2019-10-24","20191024191458752523"
6,96,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.15",4655,"MFG_SalesAgreementProduct.77","2019-10-24","20191024191458752523"
9,216,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.94",6885,"MFG_SalesAgreementProduct.78","2019-10-24","20191024191458752523"
0,72,"Compactor 3500","PricebookEntry.081","MFG_SalesAgreement.41",4082,"MFG_SalesAgreementProduct.79","2019-10-24","20191024191458752523"
1,198,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.22",3657,"MFG_SalesAgreementProduct.80","2019-10-24","20191024191458752523"
20,360,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.27",3752,"MFG_SalesAgreementProduct.81","2019-10-24","20191024191458752523"
9,18,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.96",3318,"MFG_SalesAgreementProduct.82","2019-10-24","20191024191458752523"
9,42,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.53",5400,"MFG_SalesAgreementProduct.83","2019-10-24","20191024191458752523"
12,216,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.74",9620,"MFG_SalesAgreementProduct.84","2019-10-24","20191024191458752523"
2,162,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.63",6141,"MFG_SalesAgreementProduct.85","2019-10-24","20191024191458752523"
11,48,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.66",3330,"MFG_SalesAgreementProduct.86","2019-10-24","20191024191458752523"
14,252,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.103",4620,"MFG_SalesAgreementProduct.87","2019-10-24","20191024191458752523"
19,1764,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.12",970,"MFG_SalesAgreementProduct.88","2019-10-24","20191024191458752523"
13,108,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.25",4365,"MFG_SalesAgreementProduct.89","2019-10-24","20191024191458752523"
11,540,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.84",3942,"MFG_SalesAgreementProduct.90","2019-10-24","20191024191458752523"
8,468,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.35",728,"MFG_SalesAgreementProduct.91","2019-10-24","20191024191458752523"
19,54,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.77",4480,"MFG_SalesAgreementProduct.92","2019-10-24","20191024191458752523"
10,306,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.64",940,"MFG_SalesAgreementProduct.93","2019-10-24","20191024191458752523"
17,36,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.25",15375,"MFG_SalesAgreementProduct.94","2019-10-24","20191024191458752523"
2,162,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.101",12350,"MFG_SalesAgreementProduct.95","2019-10-24","20191024191458752523"
19,72,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.28",4230,"MFG_SalesAgreementProduct.96","2019-10-24","20191024191458752523"
16,288,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.41",3375,"MFG_SalesAgreementProduct.97","2019-10-24","20191024191458752523"
6,96,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.56",3195,"MFG_SalesAgreementProduct.98","2019-10-24","20191024191458752523"
17,24,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.53",9100,"MFG_SalesAgreementProduct.99","2019-10-24","20191024191458752523"
2,36,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.103",6840,"MFG_SalesAgreementProduct.100","2019-10-24","20191024191458752523"
8,360,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.91",4082,"MFG_SalesAgreementProduct.101","2019-10-24","20191024191458752523"
14,72,"Sweeper S1000","PricebookEntry.070","MFG_SalesAgreement.46",6750,"MFG_SalesAgreementProduct.102","2019-10-24","20191024191458752523"
1,108,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.14",11440,"MFG_SalesAgreementProduct.103","2019-10-24","20191024191458752523"
7,18,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.55",3570,"MFG_SalesAgreementProduct.104","2019-10-24","20191024191458752523"
3,72,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.25",7275,"MFG_SalesAgreementProduct.105","2019-10-24","20191024191458752523"
19,156,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.54",728,"MFG_SalesAgreementProduct.106","2019-10-24","20191024191458752523"
9,108,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.51",6000,"MFG_SalesAgreementProduct.107","2019-10-24","20191024191458752523"
12,42,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.78",5040,"MFG_SalesAgreementProduct.108","2019-10-24","20191024191458752523"
8,1728,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.92",1000,"MFG_SalesAgreementProduct.109","2019-10-24","20191024191458752523"
18,54,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.33",12740,"MFG_SalesAgreementProduct.110","2019-10-24","20191024191458752523"
19,360,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.68",3752,"MFG_SalesAgreementProduct.111","2019-10-24","20191024191458752523"
18,36,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.87",4005,"MFG_SalesAgreementProduct.112","2019-10-24","20191024191458752523"
1,54,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.37",7695,"MFG_SalesAgreementProduct.113","2019-10-24","20191024191458752523"
16,126,"Pulverizer P10","PricebookEntry.079","MFG_SalesAgreement.19",3600,"MFG_SalesAgreementProduct.114","2019-10-24","20191024191458752523"
0,432,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.100",5290,"MFG_SalesAgreementProduct.115","2019-10-24","20191024191458752523"
5,3186,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.73",810,"MFG_SalesAgreementProduct.116","2019-10-24","20191024191458752523"
15,108,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.85",6480,"MFG_SalesAgreementProduct.117","2019-10-24","20191024191458752523"
11,24,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.56",19475,"MFG_SalesAgreementProduct.118","2019-10-24","20191024191458752523"
5,48,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.43",5670,"MFG_SalesAgreementProduct.119","2019-10-24","20191024191458752523"
19,12,"Compactor 3500","PricebookEntry.081","MFG_SalesAgreement.76",4025,"MFG_SalesAgreementProduct.120","2019-10-24","20191024191458752523"
5,360,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.69",3752,"MFG_SalesAgreementProduct.121","2019-10-24","20191024191458752523"
8,144,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.78",768,"MFG_SalesAgreementProduct.122","2019-10-24","20191024191458752523"
2,384,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.99",576,"MFG_SalesAgreementProduct.123","2019-10-24","20191024191458752523"
8,288,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.15",784,"MFG_SalesAgreementProduct.124","2019-10-24","20191024191458752523"
15,48,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.64",4560,"MFG_SalesAgreementProduct.125","2019-10-24","20191024191458752523"
9,72,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.45",6000,"MFG_SalesAgreementProduct.126","2019-10-24","20191024191458752523"
1,66,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.97",3420,"MFG_SalesAgreementProduct.127","2019-10-24","20191024191458752523"
12,162,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.84",5175,"MFG_SalesAgreementProduct.128","2019-10-24","20191024191458752523"
18,294,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.66",970,"MFG_SalesAgreementProduct.129","2019-10-24","20191024191458752523"
7,18,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.9",12740,"MFG_SalesAgreementProduct.130","2019-10-24","20191024191458752523"
2,216,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.69",1600,"MFG_SalesAgreementProduct.131","2019-10-24","20191024191458752523"
2,48,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.32",4968,"MFG_SalesAgreementProduct.132","2019-10-24","20191024191458752523"
19,84,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.31",5312,"MFG_SalesAgreementProduct.133","2019-10-24","20191024191458752523"
2,42,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.67",5692,"MFG_SalesAgreementProduct.134","2019-10-24","20191024191458752523"
13,42,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.86",5520,"MFG_SalesAgreementProduct.135","2019-10-24","20191024191458752523"
1,48,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.96",4560,"MFG_SalesAgreementProduct.136","2019-10-24","20191024191458752523"
10,60,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.8",4370,"MFG_SalesAgreementProduct.137","2019-10-24","20191024191458752523"
4,252,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.27",4740,"MFG_SalesAgreementProduct.138","2019-10-24","20191024191458752523"
6,378,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.74",1560,"MFG_SalesAgreementProduct.139","2019-10-24","20191024191458752523"
12,66,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.10",3562,"MFG_SalesAgreementProduct.140","2019-10-24","20191024191458752523"
11,54,"Compactor 3500","PricebookEntry.081","MFG_SalesAgreement.73",5462,"MFG_SalesAgreementProduct.141","2019-10-24","20191024191458752523"
8,1,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.24",16770,"MFG_SalesAgreementProduct.142","2019-10-24","20191024191458752523"
0,36,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.77",1740,"MFG_SalesAgreementProduct.143","2019-10-24","20191024191458752523"
12,54,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.60",8820,"MFG_SalesAgreementProduct.144","2019-10-24","20191024191458752523"
5,1404,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.80",1161,"MFG_SalesAgreementProduct.145","2019-10-24","20191024191458752523"
13,108,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.71",11440,"MFG_SalesAgreementProduct.146","2019-10-24","20191024191458752523"
9,48,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.65",4320,"MFG_SalesAgreementProduct.147","2019-10-24","20191024191458752523"
5,528,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.32",1039,"MFG_SalesAgreementProduct.148","2019-10-24","20191024191458752523"
20,48,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.46",4830,"MFG_SalesAgreementProduct.149","2019-10-24","20191024191458752523"
6,720,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.15",800,"MFG_SalesAgreementProduct.150","2019-10-24","20191024191458752523"
20,108,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.91",5037,"MFG_SalesAgreementProduct.151","2019-10-24","20191024191458752523"
10,36,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.31",13000,"MFG_SalesAgreementProduct.152","2019-10-24","20191024191458752523"
11,3456,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.95",740,"MFG_SalesAgreementProduct.153","2019-10-24","20191024191458752523"
5,54,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.78",4427,"MFG_SalesAgreementProduct.154","2019-10-24","20191024191458752523"
3,288,"Utility Broom UB1000","PricebookEntry.073","MFG_SalesAgreement.11",3465,"MFG_SalesAgreementProduct.155","2019-10-24","20191024191458752523"
5,36,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.71",8370,"MFG_SalesAgreementProduct.156","2019-10-24","20191024191458752523"
15,48,"Hammer H700","PricebookEntry.078","MFG_SalesAgreement.66",5462,"MFG_SalesAgreementProduct.157","2019-10-24","20191024191458752523"
6,216,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.87",1255,"MFG_SalesAgreementProduct.158","2019-10-24","20191024191458752523"
14,276,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.76",999,"MFG_SalesAgreementProduct.159","2019-10-24","20191024191458752523"
14,864,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.50",990,"MFG_SalesAgreementProduct.160","2019-10-24","20191024191458752523"
13,72,"Compactor 9000","PricebookEntry.082","MFG_SalesAgreement.38",6561,"MFG_SalesAgreementProduct.161","2019-10-24","20191024191458752523"
6,24,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.10",7500,"MFG_SalesAgreementProduct.162","2019-10-24","20191024191458752523"
16,216,"Ripper 37","PricebookEntry.087","MFG_SalesAgreement.59",1620,"MFG_SalesAgreementProduct.163","2019-10-24","20191024191458752523"
18,12,"Hammer H500","PricebookEntry.077","MFG_SalesAgreement.53",3990,"MFG_SalesAgreementProduct.164","2019-10-24","20191024191458752523"
19,108,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.59",5934,"MFG_SalesAgreementProduct.165","2019-10-24","20191024191458752523"
9,240,"Ripper 34","PricebookEntry.086","MFG_SalesAgreement.10",1134,"MFG_SalesAgreementProduct.166","2019-10-24","20191024191458752523"
12,150,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.52",736,"MFG_SalesAgreementProduct.167","2019-10-24","20191024191458752523"
16,2160,"Ripper 27","PricebookEntry.085","MFG_SalesAgreement.69",800,"MFG_SalesAgreementProduct.168","2019-10-24","20191024191458752523"
6,42,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.88",5824,"MFG_SalesAgreementProduct.169","2019-10-24","20191024191458752523"
18,72,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.78",3372,"MFG_SalesAgreementProduct.170","2019-10-24","20191024191458752523"
14,300,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.29",736,"MFG_SalesAgreementProduct.171","2019-10-24","20191024191458752523"
15,1,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.101",15405,"MFG_SalesAgreementProduct.172","2019-10-24","20191024191458752523"
1,36,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.32",12090,"MFG_SalesAgreementProduct.173","2019-10-24","20191024191458752523"
17,1,"Backhoe Attachment R1","PricebookEntry.068","MFG_SalesAgreement.29",18135,"MFG_SalesAgreementProduct.174","2019-10-24","20191024191458752523"
14,432,"Ripper 19","PricebookEntry.084","MFG_SalesAgreement.34",768,"MFG_SalesAgreementProduct.175","2019-10-24","20191024191458752523"
13,288,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.57",5056,"MFG_SalesAgreementProduct.176","2019-10-24","20191024191458752523"
15,252,"Trencher T36","PricebookEntry.074","MFG_SalesAgreement.26",4980,"MFG_SalesAgreementProduct.177","2019-10-24","20191024191458752523"
18,24,"Pickup Broom PB200","PricebookEntry.072","MFG_SalesAgreement.78",6075,"MFG_SalesAgreementProduct.178","2019-10-24","20191024191458752523"
20,48,"Trencher T48","PricebookEntry.075","MFG_SalesAgreement.9",4736,"MFG_SalesAgreementProduct.179","2019-10-24","20191024191458752523"
19,36,"Compactor 9500","PricebookEntry.083","MFG_SalesAgreement.17",11310,"MFG_SalesAgreementProduct.180","2019-10-24","20191024191458752523"
16,36,"Trencher T60","PricebookEntry.076","MFG_SalesAgreement.92",7380,"MFG_SalesAgreementProduct.181","2019-10-24","20191024191458752523"
12,198,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.24",3610,"MFG_SalesAgreementProduct.182","2019-10-24","20191024191458752523"
7,108,"Backhoe Attachment R2","PricebookEntry.069","MFG_SalesAgreement.75",16810,"MFG_SalesAgreementProduct.183","2019-10-24","20191024191458752523"
8,216,"Pickup Broom PB100","PricebookEntry.071","MFG_SalesAgreement.83",4899,"MFG_SalesAgreementProduct.184","2019-10-24","20191024191458752523"
0,180,"Pulverizer P20","PricebookEntry.080","MFG_SalesAgreement.40",4085,"MFG_SalesAgreementProduct.185","2019-10-24","20191024191458752523"
